,filename,discrete_pauses,actual_pauses
0,20,"['x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'weak', 'x-strong', 'strong', 'strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'x-strong']","[0.8799999999999999, 0.1299999999999999, 0.8800000000000008, 0.8699999999999992, 0.8900000000000006, 0.8599999999999994, 0.10000000000000142, 0.14999999999999858, 0.14000000000000057, 0.8900000000000006, 0.10999999999999943, 0.13000000000000256, 0.8999999999999986, 0.8600000000000065, 0.07000000000000028, 0.8900000000000006, 0.9299999999999997, 0.020000000000003126, 0.8900000000000006, 0.11999999999999034, 0.14999999999999147, 0.8999999999999915, 0.030000000000001137, 0.13000000000000966, 0.1599999999999966, 0.8899999999999864]"
0,21,"['x-strong', 'strong', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'medium-p', 'medium-p', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong', 'strong', 'strong', 'strong', 'medium-p', 'medium-p', 'x-strong']","[0.8900000000000001, 0.1299999999999999, 0.1899999999999995, 0.9000000000000004, 0.129999999999999, 0.8800000000000008, 0.8800000000000026, 0.07000000000000028, 0.07000000000000028, 0.9100000000000001, 0.879999999999999, 0.870000000000001, 0.8900000000000006, 0.9200000000000017, 0.8900000000000006, 0.8800000000000026, 0.8699999999999974, 0.9699999999999989, 0.8700000000000045, 0.8900000000000006, 0.14000000000000057, 0.8700000000000045, 0.8500000000000085, 0.09000000000000341, 0.0800000000000125, 0.8800000000000097]"
0,22,"['medium-p', 'strong', 'x-strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'weak', 'x-strong', 'x-strong', 'strong', 'x-strong', 'strong', 'medium-p', 'strong', 'medium-p', 'x-strong', 'weak', 'x-strong', 'x-strong', 'strong', 'strong', 'strong', 'strong', 'x-strong', 'medium-p', 'strong']","[0.08999999999999997, 0.8700000000000001, 0.9100000000000001, 0.09999999999999964, 0.9000000000000004, 0.14000000000000057, 0.120000000000001, 0.879999999999999, 0.05000000000000071, 0.889999999999997, 0.8900000000000006, 0.19000000000000483, 0.9099999999999966, 0.8799999999999955, 0.07000000000000028, 0.8699999999999974, 0.0799999999999983, 0.9099999999999966, 0.04999999999999716, 0.8999999999999986, 0.9200000000000017, 0.10000000000000853, 0.8799999999999955, 0.12000000000000455, 0.12999999999999545, 0.9300000000000068, 0.09000000000000341, 0.8799999999999955]"
0,23,"['strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong']","[0.07000000000000006, 0.8800000000000008, 0.8800000000000008, 0.8900000000000006, 0.16000000000000014, 0.889999999999997, 0.9200000000000017, 0.14000000000000057, 0.1699999999999946, 0.9000000000000057, 0.05000000000000426, 0.8699999999999974, 0.8999999999999986, 0.8699999999999974, 0.9000000000000057, 0.8900000000000006]"
0,24,"['x-strong', 'strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'strong', 'strong', 'strong', 'x-strong', 'weak', 'x-strong', 'x-strong']","[0.9199999999999999, 0.1200000000000001, 0.8900000000000006, 0.879999999999999, 0.8599999999999994, 0.17999999999999972, 0.879999999999999, 0.1700000000000017, 0.8799999999999955, 0.14999999999999858, 0.8900000000000006, 0.8800000000000026, 0.8700000000000045, 0.30000000000000426, 0.8599999999999994, 0.1700000000000017, 0.07000000000000028, 0.9299999999999997, 0.03999999999999915, 0.8700000000000045, 0.8799999999999955]"
0,25,"['strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong']","[0.8599999999999999, 0.8600000000000003, 0.9100000000000001, 0.8900000000000006, 0.8900000000000006, 0.9000000000000021, 0.0799999999999983, 0.19000000000000483, 0.8999999999999986, 0.8700000000000045, 0.1700000000000017, 0.8700000000000045, 0.8699999999999974, 0.9099999999999966, 0.19999999999998863, 0.9099999999999966]"
0,26,"['x-strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'medium-p', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'medium-p']","[0.8499999999999996, 0.05999999999999961, 0.879999999999999, 0.09999999999999964, 0.0600000000000005, 0.9000000000000004, 0.06999999999999673, 0.15000000000000213, 0.8900000000000006, 0.8999999999999986, 0.03999999999999915, 0.8799999999999955, 0.480000000000004, 0.9099999999999966, 0.9200000000000017, 0.060000000000002274, 0.8900000000000006, 0.21999999999999886, 0.9200000000000017, 0.05999999999998806, 0.12000000000000455, 0.060000000000002274, 0.8799999999999955, 0.09000000000000341, 0.13999999999998636, 0.9300000000000068, 0.04000000000000625]"
0,27,"['x-strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong']","[0.8800000000000001, 0.8599999999999994, 0.9000000000000004, 0.07000000000000028, 0.8399999999999999, 0.870000000000001, 0.9000000000000021, 0.09999999999999787, 0.879999999999999, 0.9299999999999997, 0.8999999999999986]"
0,29,"['strong', 'x-strong', 'strong', 'weak', 'x-strong', 'x-strong', 'strong', 'medium-p', 'x-strong', 'strong', 'x-strong', 'strong']","[0.1299999999999999, 0.9099999999999993, 0.10000000000000142, 0.02999999999999936, 0.870000000000001, 0.8999999999999986, 0.14000000000000057, 0.05611650485436884, 0.8900000000000006, 0.12999999999999545, 0.8599999999999994, 0.1599999999999966]"
0,30,"['x-strong', 'strong', 'x-strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'strong', 'weak', 'strong', 'strong', 'x-strong', 'weak', 'x-strong', 'strong', 'x-strong']","[0.8700000000000001, 0.10999999999999988, 0.8899999999999997, 0.8800000000000008, 0.049999999999998934, 0.08000000000000007, 0.9000000000000004, 0.879999999999999, 0.14000000000000057, 0.14999999999999858, 0.8900000000000006, 0.879999999999999, 0.17999999999999972, 0.8900000000000006, 0.8500000000000014, 0.04999999999999716, 0.10000000000000142, 0.0899999999999963, 0.9200000000000017, 0.030000000000001137, 0.8900000000000006, 0.8599999999999994, 0.8799999999999955]"
