,filename,base_word_lengths,script,emotion,diff,rmse,pcc,relative_diff
27,terrified_IWL,"[0.07, 0.18, 0.15, 0.04, 0.2, 0.34, 0.34]",I would like a new alarm clock,F,"[0.03742857142857142, -0.007142857142857145, 0.04657142857142857, 0.0048571428571428585, -0.016000000000000014, -0.0011428571428571677, 0.09542857142857142]",0.04310837924946883,0.9585024579250854,"[-1.46469387755102, -0.7803174603174603, -1.1604761904761907, -1.0814285714285714, -0.72, -0.6566386554621848, -0.9406722689075628]"
28,neutral_TAI,"[0.13, 0.52, 0.16, 0.39, 0.44]",The airplane is almost full,N,"[0.108625, -0.02887500000000004, -0.006624999999999992, 0.07674999999999998, -0.11212499999999997]",0.07891720344766405,0.8632188391248338,"[-1.705576923076923, -0.42447115384615375, -0.79859375, -0.8067948717948717, -0.3051704545454546]"
29,sad_ITH,"[0.13, 0.38, 0.11, 0.28, 0.06, 0.62, 0.79]",I think I have a doctor's appointment,S,"[-0.04294117647058823, -0.11264705882352943, -0.05058823529411765, -0.09441176470588239, 0.0020588235294117657, -0.1526470588235294, -0.3032352941176471]",0.142057866621688,0.9872598469762704,"[-0.5396832579185521, -0.32356037151702777, -0.4301069518716577, -0.38281512605042, -0.9743137254901961, -0.13379506641366223, 0.17384214445271784]"
30,sad_TSI,"[0.12, 0.67, 0.2, 0.68]",The surface is slick,S,"[0.0325, -0.1697727272727273, -0.041590909090909095, -0.17613636363636365]",0.12513278071679443,0.9952465711636532,"[-1.1508333333333334, -0.07660786974219802, -0.5920454545454545, -0.06097593582887695]"
31,unfriendly_WSI,"[0.21, 0.35, 0.11, 0.07, 0.34, 0.12, 0.42]",We'll stop in a couple of minutes,D,"[0.0017241379310344862, 0.06586206896551727, 0.0065517241379310365, -0.0058620689655172475, 0.0006896551724137612, -0.01034482758620689, 0.17275862068965514]",0.07007251940097195,0.9739278073719914,"[-0.7982101806239739, -0.8381773399014779, -0.9495611285266458, -0.8462561576354679, -0.6620283975659227, -0.7937931034482759, -0.9913300492610837]"
32,neutral_WSI,"[0.19, 0.28, 0.12, 0.07, 0.31, 0.11, 0.37]",We'll stop in a couple of minutes,N,"[0.040192307692307694, 0.08538461538461534, 0.002692307692307702, -0.010576923076923081, -0.000576923076923086, 0.010384615384615381, 0.08384615384615385]",0.048052686198459,0.9800245810789303,"[-1.0215384615384615, -1.0249450549450547, -0.9024358974358976, -0.7789010989010989, -0.6881389578163772, -0.9844055944055944, -0.8566112266112266]"
33,sad_IEO,"[0.23, 0.57, 0.8]",It's eleven o'clock,S,"[-0.07383458646616542, -0.22473684210526312, -0.32218045112781957]",0.2307657090694665,0.999951796750723,"[-0.44898005884275904, -0.03572483841181906, 0.20272556390977448]"
34,unfriendly_IOM,"[0.16, 0.14, 0.17, 0.26, 0.11, 0.1, 0.37]",I'm on my way to the meeting,D,"[0.03307692307692309, 0.031923076923076915, -0.008846153846153865, -0.02653846153846154, 0.0015384615384615302, 0.010769230769230767, 0.12653846153846154]",0.052134490232965985,0.9557245719628464,"[-1.0467307692307695, -1.088021978021978, -0.7779638009049772, -0.6379289940828402, -0.903986013986014, -1.0076923076923077, -0.971995841995842]"
35,neutral_TSI,"[0.12, 0.41, 0.15, 0.49]",The surface is slick,N,"[0.09646341463414634, 0.10134146341463418, 0.04585365853658538, 0.01560975609756099]",0.07402956344683181,0.9753270856509788,"[-1.6838617886178864, -0.8371743010113031, -1.1556910569105694, -0.5418566450970632]"
36,sad_TAI,"[0.22, 0.69, 0.22, 0.63, 0.61]",The airplane is almost full,S,"[0.005517241379310339, -0.23931034482758617, -0.07965517241379311, -0.2193103448275862, -0.2482758620689655]",0.1862164109957496,0.9638209277990485,"[-0.805078369905956, 0.036826586706646625, -0.4179310344827586, -0.021888341543513934, 0.017009609949123816]"
37,cheerful_ITS,"[0.1, 0.29, 0.16, 0.29, 0.2, 0.45]",I think I've seen this before,H,"[-0.005476190476190482, -0.0495238095238095, -0.04095238095238095, -0.05023809523809522, -0.019285714285714295, 0.10142857142857137]",0.053763764079929575,0.9606631449369684,"[-0.8452380952380952, -0.5392282430213466, -0.584047619047619, -0.5367651888341545, -0.7035714285714285, -0.7753968253968253]"
38,cheerful_TSI,"[0.15, 0.5, 0.14, 0.49]",The surface is slick,H,"[0.029565217391304355, -0.025217391304347803, 0.008695652173913021, 0.0665217391304348]",0.03876459417838326,0.9824664051215295,"[-1.0471014492753625, -0.4495652173913044, -0.9221118012422359, -0.6457586512866016]"
39,angry_IEO,"[0.28, 0.54, 0.71]",It's eleven o'clock,A,"[-0.05809859154929581, -0.06964788732394367, -0.016760563380281646]",0.0532515759814521,0.9960461251619561,"[-0.5125050301810864, -0.3310224308815858, -0.2663935727038287]"
40,neutral_IWL,"[0.08, 0.17, 0.16, 0.06, 0.2, 0.37, 0.3]",I would like a new alarm clock,N,"[0.0648780487804878, 0.021707317073170723, 0.08060975609756096, 0.006219512195121957, 0.03585365853658537, 0.009268292682926838, 0.08365853658536587]",0.05289763802646379,0.9589935135944094,"[-1.7309756097560973, -0.957690100430416, -1.343810975609756, -1.043658536585366, -0.9792682926829268, -0.6550494396835861, -0.9788617886178863]"
41,unfriendly_IEO,"[0.28, 0.47, 0.66]",It's eleven o'clock,D,"[-0.09884210526315793, -0.039684210526315766, 0.0313684210526316]",0.06410558004127598,0.9999094266167098,"[-0.3669924812030074, -0.44556550951847707, -0.3875279106858055]"
42,terrified_WSI,"[0.23, 0.3, 0.1, 0.05, 0.26, 0.12, 0.39]",We'll stop in a couple of minutes,F,"[-0.06741935483870967, 0.006129032258064548, -0.0022580645161290325, 0.002580645161290321, -0.006129032258064548, -0.0429032258064516, 0.06322580645161291]",0.03867529194750335,0.9679504915705859,"[-0.4768723702664798, -0.7204301075268817, -0.8774193548387097, -1.0016129032258063, -0.716426799007444, -0.52247311827957, -0.772117452440033]"
43,angry_IOM,"[0.18, 0.19, 0.16, 0.25, 0.12, 0.12, 0.38]",I'm on my way to the meeting,A,"[0.029200000000000004, 0.02940000000000001, 0.014000000000000012, 0.018199999999999994, 0.0030000000000000027, -0.011199999999999988, 0.09239999999999998]",0.03949039666262455,0.9949745105165452,"[-0.9822222222222223, -0.9647368421052633, -0.9275000000000001, -0.8228, -0.9050000000000001, -0.7866666666666667, -0.863157894736842]"
44,neutral_IEO,"[0.16, 0.39, 0.59]",It's eleven o'clock,N,"[0.035714285714285726, -0.029404761904761934, -0.10821428571428565]",0.06794723899077974,0.9988630328768733,"[-1.063214285714286, -0.5346031746031745, -0.22658595641646506]"
45,neutral_ITS,"[0.05, 0.27, 0.13, 0.25, 0.21, 0.45]",I think I've seen this before,N,"[0.07053333333333334, 0.006266666666666643, 0.01200000000000001, 0.011199999999999988, -0.007466666666666649, 0.05013333333333331]",0.03617725907354057,0.976183761026027,"[-2.360666666666667, -0.7532098765432098, -0.9623076923076924, -0.7948, -0.7544444444444446, -0.6614074074074074]"
46,angry_TIE,"[0.33, 0.15, 0.74, 0.19, 0.68]",That is exactly what happened,A,"[-0.04547169811320756, -0.009622641509433955, -0.0020754716981131738, -0.0054716981132075515, -0.1267924528301887]",0.06044972078781694,0.9830040777805604,"[-0.5322069754145224, -0.7858490566037736, -0.2571953085160633, -0.781201588877855, -0.13354051054384009]"
47,cheerful_TAI,"[0.18, 0.55, 0.19, 0.47, 0.49]",The airplane is almost full,H,"[0.008947368421052648, -0.12868421052631585, -0.05684210526315789, -0.08736842105263154, -0.10447368421052627]",0.08765694274949569,0.9839447700271265,"[-0.8697076023391814, -0.21602870813397113, -0.510831024930748, -0.3441097424412095, -0.2967883995703545]"
48,terrified_ITH,"[0.11, 0.25, 0.05, 0.16, 0.05, 0.42, 0.58]",I think I have a doctor's appointment,F,"[-0.005250000000000005, -0.0030000000000000027, 0.00875, 0.003500000000000003, 0.0015000000000000013, 0.014500000000000013, -0.057499999999999996]",0.022816425787451584,0.9952399002627935,"[-0.8422727272727273, -0.738, -1.125, -0.8618750000000001, -0.98, -0.6145238095238097, -0.3208620689655173]"
